op3	2	100000	6250	21416530	3.583733
op4a	2	100000	6250	19379120	5.194239
op4b	2	100000	6250	20380056	4.193372
op4ab	2	100000	6250	18394070	5.046933
op3	2	100000	3125	6598978	0.935885
op4a	2	100000	3125	6095622	1.281765
op4b	2	100000	3125	5708380	1.276039
op4ab	2	100000	3125	5232171	1.666862
op3	2	10000	5000	12668675	1.067366
op4a	2	10000	5000	7436443	1.215987
op4b	2	10000	5000	12541414	1.176386
op4ab	2	10000	5000	7344331	1.332867
op3	2	10000	2500	3288757	0.284057
op4a	2	10000	2500	2651055	0.351475
op4b	2	10000	2500	3186565	0.332052
op4ab	2	10000	2500	2565690	0.399800
op3	2	10000	1250	929712	0.091409
op4a	2	10000	1250	827625	0.114377
op4b	2	10000	1250	848843	0.112288
op4ab	2	10000	1250	754670	0.136894
op3	2	10000	625	328011	0.037100
op4a	2	10000	625	303304	0.048748
op4b	2	10000	625	262409	0.052184
op4ab	2	10000	625	241677	0.067289
op3	2	10000	312	166309	0.021007
op4a	2	10000	312	159775	0.030545
op4b	2	10000	312	113439	0.036086
op4ab	2	10000	312	108870	0.047104
op3	2	1000	500	137063	0.011324
op4a	2	1000	500	84053	0.011850
op4b	2	1000	500	128261	0.012116
op4ab	2	1000	500	77903	0.013317
op3	2	1000	250	42107	0.003542
op4a	2	1000	250	34515	0.004161
op4b	2	1000	250	35892	0.004805
op4ab	2	1000	250	29504	0.005849
op3	2	1000	125	17536	0.001773
op4a	2	1000	125	16162	0.002210
op4b	2	1000	125	12988	0.003268
op4ab	2	1000	125	12179	0.004584
op3	2	1000	62	10021	0.001210
op4a	2	1000	62	9658	0.001515
op4b	2	1000	62	6878	0.001752
op4ab	2	1000	62	6752	0.002016
op3	2	1000	31	7118	0.000956
op4a	2	1000	31	7022	0.001239
op4b	2	1000	31	5032	0.001432
op4ab	2	1000	31	5044	0.001704
op3	2	100	50	1867	0.000239
op4a	2	100	50	1353	0.000213
op4b	2	100	50	1467	0.000224
op4ab	2	100	50	1100	0.000256
op3	2	100	25	871	0.000108
op4a	2	100	25	752	0.000130
op4b	2	100	25	634	0.000174
op4ab	2	100	25	580	0.000167
op3	2	100	12	538	0.000071
op4a	2	100	12	519	0.000097
op4b	2	100	12	408	0.000109
op4ab	2	100	12	420	0.000127
op3	2	100	6	322	0.000045
op4a	2	100	6	320	0.000063
op4b	2	100	6	284	0.000070
op4ab	2	100	6	293	0.000086
op3	2	100	3	217	0.000031
op4a	2	100	3	217	0.000054
op4b	2	100	3	213	0.000047
op4ab	2	100	3	216	0.000058
op3	3	100000	6250	22923363	3.927747
op4a	3	100000	6250	22254295	5.059722
op4b	3	100000	6250	20622915	4.733180
op4ab	3	100000	6250	20025467	5.891809
op3	3	100000	3125	7973794	1.318162
op4a	3	100000	3125	7796123	1.688118
op4b	3	100000	3125	5950931	1.916841
op4ab	3	100000	3125	5814800	2.292577
op3	3	10000	5000	12802857	1.189526
op4a	3	10000	5000	9260169	1.368852
op4b	3	10000	5000	12553973	1.343589
op4ab	3	10000	5000	9059751	1.477718
op3	3	10000	2500	3407403	0.322145
op4a	3	10000	2500	3103791	0.396175
op4b	3	10000	2500	3203729	0.380886
op4ab	3	10000	2500	2922031	0.450494
op3	3	10000	1250	1037031	0.104884
op4a	3	10000	1250	995382	0.130593
op4b	3	10000	1250	867608	0.143295
op4ab	3	10000	1250	836548	0.169206
op3	3	10000	625	422255	0.047864
op4a	3	10000	625	411330	0.059541
op4b	3	10000	625	282823	0.076134
op4ab	3	10000	625	277150	0.095069
op3	3	10000	312	244270	0.030749
op4a	3	10000	312	240976	0.038989
op4b	3	10000	312	133068	0.054052
op4ab	3	10000	312	132403	0.064912
op3	3	1000	500	144766	0.012746
op4a	3	1000	500	106655	0.012925
op4b	3	1000	500	129277	0.013722
op4ab	3	1000	500	94504	0.015568
op3	3	1000	250	48069	0.004174
op4a	3	1000	250	43922	0.005385
op4b	3	1000	250	37256	0.005374
op4ab	3	1000	250	34561	0.006556
op3	3	1000	125	22603	0.002825
op4a	3	1000	125	21822	0.002876
op4b	3	1000	125	14392	0.003375
op4ab	3	1000	125	14285	0.003679
op3	3	1000	62	13341	0.001699
op4a	3	1000	62	13136	0.001797
op4b	3	1000	62	8202	0.003210
op4ab	3	1000	62	8273	0.003111
op3	3	1000	31	9596	0.001530
op4a	3	1000	31	9537	0.001950
op4b	3	1000	31	6248	0.003023
op4ab	3	1000	31	6324	0.003384
op3	3	100	50	2135	0.000267
op4a	3	100	50	1625	0.000242
op4b	3	100	50	1537	0.000276
op4ab	3	100	50	1239	0.000302
op3	3	100	25	1092	0.000127
op4a	3	100	25	1039	0.000148
op4b	3	100	25	716	0.000178
op4ab	3	100	25	752	0.000195
op3	3	100	12	582	0.000068
op4a	3	100	12	577	0.000135
op4b	3	100	12	443	0.000110
op4ab	3	100	12	473	0.000168
op3	3	100	6	370	0.000069
op4a	3	100	6	367	0.000085
op4b	3	100	6	339	0.000115
op4ab	3	100	6	347	0.000161
op3	3	100	3	232	0.000043
op4a	3	100	3	232	0.000076
op4b	3	100	3	229	0.000081
op4ab	3	100	3	232	0.000121
op3	5	100000	6250	28612492	5.819124
op4a	5	100000	6250	28447595	6.837298
op4b	5	100000	6250	21468474	8.339304
op4ab	5	100000	6250	21412434	11.128048
op3	5	100000	3125	12748447	2.662425
op4a	5	100000	3125	12699936	3.241886
op4b	5	100000	3125	6766923	4.487141
op4ab	5	100000	3125	6771501	4.546955
op3	5	10000	5000	13276063	1.506974
op4a	5	10000	5000	10435936	1.602498
